Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Shiel Hill","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",258,
"Shiel Hill","Bicycle","Total people - age group","Total people - sex","2018",9,
"Shiel Hill","Walk or jog","Total people - age group","Total people - sex","2018",60,
"Shiel Hill","School bus","Total people - age group","Total people - sex","2018",9,
"Shiel Hill","Public bus","Total people - age group","Total people - sex","2018",33,
"Shiel Hill","Train","Total people - age group","Total people - sex","2018",0,
"Shiel Hill","Ferry","Total people - age group","Total people - sex","2018",0,
"Shiel Hill","Other","Total people - age group","Total people - sex","2018",6,
"St Kilda North","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",561,
"St Kilda North","Study at home","Total people - age group","Total people - sex","2018",24,
"St Kilda North","Drive a car, truck or van","Total people - age group","Total people - sex","2018",81,
"St Kilda North","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",237,
"St Kilda North","Bicycle","Total people - age group","Total people - sex","2018",33,
"St Kilda North","Walk or jog","Total people - age group","Total people - sex","2018",123,
"St Kilda North","School bus","Total people - age group","Total people - sex","2018",6,
"St Kilda North","Public bus","Total people - age group","Total people - sex","2018",45,
"St Kilda North","Train","Total people - age group","Total people - sex","2018",0,
"St Kilda North","Ferry","Total people - age group","Total people - sex","2018",0,
"St Kilda North","Other","Total people - age group","Total people - sex","2018",9,
"Andersons Bay","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",630,
"Andersons Bay","Study at home","Total people - age group","Total people - sex","2018",36,
"Andersons Bay","Drive a car, truck or van","Total people - age group","Total people - sex","2018",93,
"Andersons Bay","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",261,
"Andersons Bay","Bicycle","Total people - age group","Total people - sex","2018",21,
"Andersons Bay","Walk or jog","Total people - age group","Total people - sex","2018",162,
"Andersons Bay","School bus","Total people - age group","Total people - sex","2018",6,
"Andersons Bay","Public bus","Total people - age group","Total people - sex","2018",36,
"Andersons Bay","Train","Total people - age group","Total people - sex","2018",0,
"Andersons Bay","Ferry","Total people - age group","Total people - sex","2018",0,
"Andersons Bay","Other","Total people - age group","Total people - sex","2018",18,
"Tainui","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",528,
"Tainui","Study at home","Total people - age group","Total people - sex","2018",33,
"Tainui","Drive a car, truck or van","Total people - age group","Total people - sex","2018",72,
"Tainui","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",234,
"Tainui","Bicycle","Total people - age group","Total people - sex","2018",21,
"Tainui","Walk or jog","Total people - age group","Total people - sex","2018",111,
"Tainui","School bus","Total people - age group","Total people - sex","2018",3,
"Tainui","Public bus","Total people - age group","Total people - sex","2018",39,
"Tainui","Train","Total people - age group","Total people - sex","2018",0,
"Tainui","Ferry","Total people - age group","Total people - sex","2018",0,
"Tainui","Other","Total people - age group","Total people - sex","2018",9,
"West Otago","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",552,
"West Otago","Study at home","Total people - age group","Total people - sex","2018",33,
"West Otago","Drive a car, truck or van","Total people - age group","Total people - sex","2018",54,
"West Otago","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",120,
"West Otago","Bicycle","Total people - age group","Total people - sex","2018",18,
"West Otago","Walk or jog","Total people - age group","Total people - sex","2018",93,
"West Otago","School bus","Total people - age group","Total people - sex","2018",231,
"West Otago","Public bus","Total people - age group","Total people - sex","2018",3,
"West Otago","Train","Total people - age group","Total people - sex","2018",0,
"West Otago","Ferry","Total people - age group","Total people - sex","2018",0,
"West Otago","Other","Total people - age group","Total people - sex","2018",0,
"Tuapeka","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",258,
"Tuapeka","Study at home","Total people - age group","Total people - sex","2018",15,
"Tuapeka","Drive a car, truck or van","Total people - age group","Total people - sex","2018",24,
"Tuapeka","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",84,
"Tuapeka","Bicycle","Total people - age group","Total people - sex","2018",6,
"Tuapeka","Walk or jog","Total people - age group","Total people - sex","2018",39,
"Tuapeka","School bus","Total people - age group","Total people - sex","2018",93,
"Tuapeka","Public bus","Total people - age group","Total people - sex","2018",0,
"Tuapeka","Train","Total people - age group","Total people - sex","2018",0,
"Tuapeka","Ferry","Total people - age group","Total people - sex","2018",0,
"Tuapeka","Other","Total people - age group","Total people - sex","2018",0,
"Clinton","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",288,
"Clinton","Study at home","Total people - age group","Total people - sex","2018",15,
"Clinton","Drive a car, truck or van","Total people - age group","Total people - sex","2018",21,
"Clinton","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",78,
"Clinton","Bicycle","Total people - age group","Total people - sex","2018",3,
"Clinton","Walk or jog","Total people - age group","Total people - sex","2018",24,
"Clinton","School bus","Total people - age group","Total people - sex","2018",141,
"Clinton","Public bus","Total people - age group","Total people - sex","2018",3,
"Clinton","Train","Total people - age group","Total people - sex","2018",0,
"Clinton","Ferry","Total people - age group","Total people - sex","2018",0,
"Clinton","Other","Total people - age group","Total people - sex","2018",3,
"Clutha Valley","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",432,
"Clutha Valley","Study at home","Total people - age group","Total people - sex","2018",12,
"Clutha Valley","Drive a car, truck or van","Total people - age group","Total people - sex","2018",30,
"Clutha Valley","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",114,
"Clutha Valley","Bicycle","Total people - age group","Total people - sex","2018",0,
"Clutha Valley","Walk or jog","Total people - age group","Total people - sex","2018",33,
"Clutha Valley","School bus","Total people - age group","Total people - sex","2018",237,
"Clutha Valley","Public bus","Total people - age group","Total people - sex","2018",3,
"Clutha Valley","Train","Total people - age group","Total people - sex","2018",0,
"Clutha Valley","Ferry","Total people - age group","Total people - sex","2018",0,
"Clutha Valley","Other","Total people - age group","Total people - sex","2018",3,
"Bruce","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",483,
"Bruce","Study at home","Total people - age group","Total people - sex","2018",24,
"Bruce","Drive a car, truck or van","Total people - age group","Total people - sex","2018",51,
"Bruce","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",171,
"Bruce","Bicycle","Total people - age group","Total people - sex","2018",12,
"Bruce","Walk or jog","Total people - age group","Total people - sex","2018",45,
